group,domain,n,metric,higher_is_better,baseline,arm,baseline_mean,arm_mean,delta,ci_lo,ci_hi,p
unseen,logistics_delivery,10,route_invalid,False,vanilla,coevolved,0.0,0.0,0.0,0.0,0.0,1.0
unseen,logistics_delivery,10,insight_private_leak_max,False,vanilla,coevolved,0.02445,0.03333,0.00888,-0.03834,0.06999,0.755
unseen,logistics_delivery,10,insight_slot_frac,True,vanilla,coevolved,1.0,1.0,0.0,0.0,0.0,1.0
unseen,logistics_delivery,10,train_reward,True,vanilla,coevolved,0.17275,0.491,0.31825,0.19175,0.453,0.0
unseen,logistics_delivery,10,content_total,True,vanilla,coevolved,1.0,1.0,0.0,0.0,0.0,1.0
unseen,logistics_delivery,10,prov_total,True,vanilla,coevolved,3.9,3.9,0.0,0.0,0.0,1.0
unseen,logistics_delivery,10,checks_total,True,vanilla,coevolved,4.9,4.9,0.0,0.0,0.0,1.0
unseen,logistics_delivery,10,decisive_total,True,vanilla,coevolved,3.9,3.9,0.0,0.0,0.0,1.0
unseen,logistics_delivery,10,routing_hits,True,vanilla,coevolved,1.7,3.9,2.2,1.1,3.3,0.0
unseen,logistics_delivery,10,routing_opportunities,True,vanilla,coevolved,3.7,3.9,0.2,-1.3,1.8,0.8505
unseen,logistics_delivery,10,forced_routes,False,vanilla,coevolved,0.4,1.4,1.0,0.5,1.5,0.0
unseen,logistics_delivery,10,route_decisions,True,vanilla,coevolved,0.0,0.0,0.0,0.0,0.0,1.0
unseen,logistics_delivery,10,route_reward,True,vanilla,coevolved,0.25775,0.686,0.42825,0.28225,0.57825,0.0
unseen,logistics_delivery,10,wall_time,False,vanilla,coevolved,518.6,919.34,400.74,349.26,452.22,0.0
unseen,site_selection,11,checks_frac,True,vanilla,coevolved,0.090909,0.359091,0.268182,0.136364,0.409091,0.0
unseen,site_selection,11,checks_passed,True,vanilla,coevolved,0.454545,1.727273,1.272727,0.636364,2.0,0.0005
unseen,site_selection,11,success,True,vanilla,coevolved,0.0,0.0,0.0,0.0,0.0,1.0
unseen,site_selection,11,content_passed,True,vanilla,coevolved,0.363636,0.909091,0.545455,0.272727,0.818182,0.0
unseen,site_selection,11,prov_passed,True,vanilla,coevolved,0.090909,0.818182,0.727273,0.181818,1.454545,0.037
unseen,site_selection,11,reveals,True,vanilla,coevolved,1.0,3.818182,2.818182,1.818182,3.545455,0.0
